,ver,creationdate,id,result
0,11110000,2023-11-15,77484585,"<Difficulty Level>1</Difficulty Level>
"
1,11110000,2023-11-15,77484585,"<Difficulty Level>1</Difficulty Level>
"
2,11110000,2023-11-15,77484585,"<Difficulty Level>1</Difficulty Level>
"
3,11110000,2023-11-15,77484585,"<Difficulty Level>1</Difficulty Level>
"
4,11110000,2023-11-15,77484585,"<Difficulty Level>1</Difficulty Level>
"
5,11110000,2023-11-15,77484617,"<Difficulty Level>2</Difficulty Level>
"
6,11110000,2023-11-15,77484617,"<Difficulty Level>2</Difficulty Level>
"
7,11110000,2023-11-15,77484617,"<Difficulty Level>2</Difficulty Level>
"
8,11110000,2023-11-15,77484617,<Difficulty Level>2</Difficulty Level>
9,11110000,2023-11-15,77484617,"<Difficulty Level>2</Difficulty Level>
"
10,11110000,2023-11-15,77484681,"<Difficulty Level>1</Difficulty Level>
"
11,11110000,2023-11-15,77484681,"<Difficulty Level>2</Difficulty Level>
"
12,11110000,2023-11-15,77484681,"<Difficulty Level>2</Difficulty Level>
"
13,11110000,2023-11-15,77484681,"<Difficulty Level>2</Difficulty Level>
"
14,11110000,2023-11-15,77484681,"<Difficulty Level>2</Difficulty Level>
"
15,11110000,2023-11-15,77484720,"<Difficulty Level>1</Difficulty Level>
"
16,11110000,2023-11-15,77484720,"<Difficulty Level>2</Difficulty Level>
"
17,11110000,2023-11-15,77484720,"<Difficulty Level>1</Difficulty Level>
"
18,11110000,2023-11-15,77484720,"<Difficulty Level>1</Difficulty Level>
"
19,11110000,2023-11-15,77484720,"<Difficulty Level>1</Difficulty Level>
"
20,11110000,2023-11-15,77485234,"<Difficulty Level>1</Difficulty Level>
"
21,11110000,2023-11-15,77485234,"<Difficulty Level>1</Difficulty Level>
"
22,11110000,2023-11-15,77485234,"<Difficulty Level>1</Difficulty Level>
"
23,11110000,2023-11-15,77485234,"<Difficulty Level>1</Difficulty Level>
"
24,11110000,2023-11-15,77485234,"<Difficulty Level>1</Difficulty Level>
"
25,11110000,2023-11-15,77485618,"<Difficulty Level>1</Difficulty Level>
"
26,11110000,2023-11-15,77485618,"<Difficulty Level>1</Difficulty Level>
"
27,11110000,2023-11-15,77485618,"<Difficulty Level>1</Difficulty Level>
"
28,11110000,2023-11-15,77485618,"<Difficulty Level>1</Difficulty Level>
"
29,11110000,2023-11-15,77485618,"<Difficulty Level>1</Difficulty Level>
"
30,11110000,2023-11-15,77486000,"<Difficulty Level>1</Difficulty Level>
"
31,11110000,2023-11-15,77486000,"<Difficulty Level>1</Difficulty Level>
"
32,11110000,2023-11-15,77486000,"<Difficulty Level>1</Difficulty Level>
"
33,11110000,2023-11-15,77486000,"<Difficulty Level>1</Difficulty Level>
"
34,11110000,2023-11-15,77486000,"<Difficulty Level>1</Difficulty Level>
"
35,11110000,2023-11-15,77486102,"<Difficulty Level>2</Difficulty Level>
"
36,11110000,2023-11-15,77486102,"<Difficulty Level>2</Difficulty Level>
"
37,11110000,2023-11-15,77486102,"<Difficulty Level>2</Difficulty Level>
"
38,11110000,2023-11-15,77486102,<Difficulty Level>2</Difficulty Level>
39,11110000,2023-11-15,77486102,<Difficulty Level>2</Difficulty Level>
40,11110000,2023-11-15,77486981,"<Difficulty Level>0</Difficulty Level>
"
41,11110000,2023-11-15,77486981,"<Difficulty Level>0</Difficulty Level>
"
42,11110000,2023-11-15,77486981,<Difficulty Level>0</Difficulty Level
43,11110000,2023-11-15,77486981,"<Difficulty Level>0</Difficulty Level>
"
44,11110000,2023-11-15,77486981,"<Difficulty Level>0</Difficulty Level>
"
45,11110000,2023-11-15,77487061,"<Difficulty Level>1</Difficulty Level>
"
46,11110000,2023-11-15,77487061,"<Difficulty Level>1</Difficulty Level>
"
47,11110000,2023-11-15,77487061,<Difficulty Level>1</Difficulty Level>
48,11110000,2023-11-15,77487061,<Difficulty Level>1</Difficulty Level>
49,11110000,2023-11-15,77487061,"<Difficulty Level>1</Difficulty Level>
"
50,11110000,2023-11-15,77487177,"<Difficulty Level>0</Difficulty Level>
"
51,11110000,2023-11-15,77487177,"<Difficulty Level>0</Difficulty Level>
"
52,11110000,2023-11-15,77487177,"<Difficulty Level>0</Difficulty Level>
"
53,11110000,2023-11-15,77487177,"<Difficulty Level>0</Difficulty Level>
"
54,11110000,2023-11-15,77487177,"<Difficulty Level>0</Difficulty Level>
"
55,11110000,2023-11-15,77488243,"To extract all the text from the given JSON data, you can use a programming language like Python. Here is an example code snippet that demonstrates how to parse the JSON data and extract the text:

```python
import json

# Assuming 'data' is your JSON data
data = {...}  # Your JSON data here

def extract_text(data):
    texts = []
    for item in data:
        if isinstance(item, dict) and 'Text' in item:
            texts.append({
               "
56,11110000,2023-11-15,77488243,"To extract all the text from the given JSON data, you can use a programming language like Python to parse the JSON and iterate over each object that contains text.

Here is an example code snippet in Python using the `json` library:

```python
import json

# Load the JSON data
data = json.loads('your_json_data_here')

# Initialize an empty list to store the extracted texts
extracted_texts = []

# Iterate over each object in the JSON data
for obj in data:
"
